COUNTY,WEEK_END_DATE,TOTAL_CASES,TOTAL_DEATHS,TOTAL_HOSP,Year
Decatur,2024-12-07,5031,88,110,2024
Dekalb,2024-12-07,8698,120,160,2024
Dickson,2024-12-07,23256,284,506,2024
Dyer,2024-12-07,17293,233,237,2024
Fayette,2024-12-07,16134,209,491,2024
Fentress,2024-12-07,7432,150,233,2024
Franklin,2024-12-07,18672,222,221,2024
Gibson,2024-12-07,25712,315,340,2024
Giles,2024-12-07,12679,221,306,2024
Grainger,2024-12-07,9175,132,126,2024
Greene,2024-12-07,32153,451,881,2024
Grundy,2024-12-07,5103,85,121,2024
Hamblen,2024-12-07,27457,411,388,2024
Hamilton,2024-12-07,134761,1338,3258,2024
Hancock,2024-12-07,2988,44,64,2024
Hardeman,2024-12-07,10536,148,225,2024
Hardin,2024-12-07,12644,181,207,2024
Hawkins,2024-12-07,25635,407,658,2024
Haywood,2024-12-07,9206,110,165,2024
Henderson,2024-12-07,12699,199,214,2024
Henry,2024-12-07,11291,189,317,2024
Hickman,2024-12-07,9302,133,188,2024
Houston,2024-12-07,3298,68,109,2024
Humphreys,2024-12-07,6761,88,188,2024
Jackson,2024-12-07,4378,78,147,2024
Jefferson,2024-12-07,21780,327,298,2024
Johnson,2024-12-07,7019,123,227,2024
Knox,2024-12-07,177076,1705,3004,2024
Lake,2024-12-07,3508,49,56,2024
Lauderdale,2024-12-07,10760,122,173,2024
Lawrence,2024-12-07,18157,241,523,2024
Lewis,2024-12-07,4463,74,106,2024
Lincoln,2024-12-07,12705,197,260,2024
Loudon,2024-12-07,22569,245,272,2024
Macon,2024-12-07,11724,169,289,2024
Madison,2024-12-07,47795,504,561,2024
Marion,2024-12-07,12163,152,308,2024
Marshall,2024-12-07,13889,148,255,2024
Maury,2024-12-07,39333,411,709,2024
McMinn,2024-12-07,21004,310,478,2024
McNairy,2024-12-07,10644,153,136,2024
Meigs,2024-12-07,4559,67,125,2024
Monroe,2024-12-07,20467,287,494,2024
Montgomery,2024-12-07,74325,665,753,2024
Moore,2024-12-07,3116,41,44,2024
Morgan,2024-12-07,9016,110,100,2024
Obion,2024-12-07,14952,230,316,2024
Overton,2024-12-07,9283,140,276,2024
Perry,2024-12-07,3233,64,68,2024
Pickett,2024-12-07,2504,43,88,2024
Polk,2024-12-07,6069,91,180,2024
Putnam,2024-12-07,32876,354,772,2024
Rhea,2024-12-07,12908,179,249,2024
Roane,2024-12-07,22551,295,312,2024
Robertson,2024-12-07,30615,374,963,2024
Rutherford,2024-12-07,128663,1043,1851,2024
Scott,2024-12-07,13899,145,143,2024
Sequatchie,2024-12-07,5622,83,130,2024
Sevier,2024-12-07,40275,483,555,2024
Shelby,2024-12-07,329165,3876,9931,2024
Smith,2024-12-07,7908,105,165,2024
Stewart,2024-12-07,4112,75,90,2024
Sullivan,2024-12-07,71415,888,2276,2024
Sumner,2024-12-07,72532,867,1853,2024
Tipton,2024-12-07,25464,275,565,2024
Trousdale,2024-12-07,5090,54,119,2024
Unicoi,2024-12-07,7521,114,257,2024
Union,2024-12-07,7714,88,95,2024
Van Buren,2024-12-07,2498,57,53,2024
Warren,2024-12-07,17000,200,227,2024
Washington,2024-12-07,56114,602,1396,2024
Wayne,2024-12-07,7525,102,132,2024
Weakley,2024-12-07,13200,191,241,2024
White,2024-12-07,10795,162,298,2024
Williamson,2024-12-07,85081,484,1012,2024
Wilson,2024-12-07,57914,572,1092,2024
Unknown,2024-12-07,114632,507,1304,2024
Anderson,2024-11-30,31321,435,395,2024
Bedford,2024-11-30,20228,269,399,2024
Benton,2024-11-30,6702,108,143,2024
Bledsoe,2024-11-30,5985,66,106,2024
Blount,2024-11-30,57499,596,1086,2024
Bradley,2024-11-30,42661,495,1332,2024
Campbell,2024-11-30,18597,202,195,2024
Cannon,2024-11-30,5546,79,112,2024
Carroll,2024-11-30,13680,184,284,2024
Carter,2024-11-30,24524,396,826,2024
Cheatham,2024-11-30,14475,155,282,2024
Chester,2024-11-30,8059,108,109,2024
Claiborne,2024-11-30,12908,226,175,2024
Clay,2024-11-30,2887,64,88,2024
Cocke,2024-11-30,16640,258,186,2024
Coffee,2024-11-30,23707,320,467,2024
Crockett,2024-11-30,7778,100,81,2024
Cumberland,2024-11-30,21719,369,378,2024
Davidson,2024-11-30,259730,1967,4682,2024
Decatur,2024-11-30,5028,88,110,2024
Dekalb,2024-11-30,8691,120,160,2024
Dickson,2024-11-30,23246,284,505,2024
Dyer,2024-11-30,17286,233,235,2024
Fayette,2024-11-30,16127,209,491,2024
Fentress,2024-11-30,7432,150,233,2024
Franklin,2024-11-30,18669,222,221,2024
Gibson,2024-11-30,25696,314,340,2024
Giles,2024-11-30,12675,221,306,2024
Grainger,2024-11-30,9168,132,126,2024
Greene,2024-11-30,32118,451,880,2024
Grundy,2024-11-30,5100,85,121,2024
Hamblen,2024-11-30,27450,411,388,2024
Hamilton,2024-11-30,134697,1338,3257,2024
Hancock,2024-11-30,2986,44,64,2024
Hardeman,2024-11-30,10532,148,225,2024
Hardin,2024-11-30,12625,181,207,2024
Hawkins,2024-11-30,25607,407,657,2024
Haywood,2024-11-30,9200,110,165,2024
Henderson,2024-11-30,12694,199,214,2024
Henry,2024-11-30,11286,189,317,2024
Hickman,2024-11-30,9299,133,188,2024
Houston,2024-11-30,3296,68,108,2024
Humphreys,2024-11-30,6760,88,188,2024
Jackson,2024-11-30,4378,78,147,2024
Jefferson,2024-11-30,21774,327,297,2024
Johnson,2024-11-30,7019,123,227,2024
Knox,2024-11-30,176991,1705,3004,2024
Lake,2024-11-30,3507,49,56,2024
Lauderdale,2024-11-30,10753,122,173,2024
Lawrence,2024-11-30,18142,241,522,2024
Lewis,2024-11-30,4463,74,106,2024
Lincoln,2024-11-30,12701,197,260,2024
Loudon,2024-11-30,22552,245,272,2024
Macon,2024-11-30,11707,169,289,2024
Madison,2024-11-30,47747,504,559,2024
Marion,2024-11-30,12161,152,308,2024
Marshall,2024-11-30,13883,148,255,2024
Maury,2024-11-30,39322,411,709,2024
McMinn,2024-11-30,20996,310,477,2024
McNairy,2024-11-30,10641,153,136,2024
Meigs,2024-11-30,4556,67,125,2024
Monroe,2024-11-30,20457,287,494,2024
Montgomery,2024-11-30,74295,665,753,2024
Moore,2024-11-30,3114,41,44,2024
Morgan,2024-11-30,9008,110,100,2024
Obion,2024-11-30,14949,230,316,2024
Overton,2024-11-30,9282,140,276,2024
Perry,2024-11-30,3231,64,68,2024
Pickett,2024-11-30,2503,43,88,2024
Polk,2024-11-30,6068,91,180,2024
Putnam,2024-11-30,32865,354,770,2024
Rhea,2024-11-30,12905,179,249,2024
Roane,2024-11-30,22535,295,312,2024
Robertson,2024-11-30,30595,374,962,2024
Rutherford,2024-11-30,128633,1043,1851,2024
Scott,2024-11-30,13893,145,143,2024
Sequatchie,2024-11-30,5619,83,130,2024
Sevier,2024-11-30,40248,482,555,2024
Shelby,2024-11-30,329053,3876,9930,2024
Smith,2024-11-30,7904,105,165,2024
Stewart,2024-11-30,4111,75,90,2024
Sullivan,2024-11-30,71316,888,2272,2024
Sumner,2024-11-30,72497,867,1853,2024
Tipton,2024-11-30,25448,275,565,2024
Trousdale,2024-11-30,5089,54,119,2024
Unicoi,2024-11-30,7514,114,257,2024
Union,2024-11-30,7707,88,95,2024
Van Buren,2024-11-30,2498,57,53,2024
Warren,2024-11-30,16996,200,227,2024
Washington,2024-11-30,56076,602,1396,2024
Wayne,2024-11-30,7519,102,132,2024
Weakley,2024-11-30,13195,191,241,2024
White,2024-11-30,10793,162,298,2024
Williamson,2024-11-30,85032,484,1012,2024
Wilson,2024-11-30,57876,572,1092,2024
Unknown,2024-11-30,114565,507,1304,2024
Anderson,2024-11-23,31315,435,395,2024
Bedford,2024-11-23,20222,269,399,2024
Benton,2024-11-23,6700,108,143,2024
Bledsoe,2024-11-23,5983,66,106,2024
Blount,2024-11-23,57480,596,1086,2024
Bradley,2024-11-23,42629,495,1328,2024
Campbell,2024-11-23,18586,202,195,2024
Cannon,2024-11-23,5545,79,112,2024
Carroll,2024-11-23,13669,184,284,2024
Carter,2024-11-23,24510,396,825,2024
Cheatham,2024-11-23,14471,155,282,2024
Chester,2024-11-23,8053,108,109,2024
Claiborne,2024-11-23,12894,226,175,2024
Clay,2024-11-23,2886,64,88,2024
Cocke,2024-11-23,16630,258,186,2024
Coffee,2024-11-23,23703,320,467,2024
Crockett,2024-11-23,7774,100,81,2024
Cumberland,2024-11-23,21717,369,378,2024
Davidson,2024-11-23,259664,1965,4681,2024
Decatur,2024-11-23,5028,88,110,2024
Dekalb,2024-11-23,8689,120,160,2024
Dickson,2024-11-23,23242,284,505,2024
Dyer,2024-11-23,17281,233,235,2024
Fayette,2024-11-23,16122,209,491,2024
Fentress,2024-11-23,7432,150,233,2024
Franklin,2024-11-23,18662,222,221,2024
Gibson,2024-11-23,25676,314,337,2024
Giles,2024-11-23,12674,221,306,2024
Grainger,2024-11-23,9167,132,126,2024
Greene,2024-11-23,32095,451,880,2024
Grundy,2024-11-23,5100,85,121,2024
Hamblen,2024-11-23,27448,411,388,2024
Hamilton,2024-11-23,134667,1338,3257,2024
Hancock,2024-11-23,2984,44,64,2024
Hardeman,2024-11-23,10530,148,224,2024
Hardin,2024-11-23,12619,181,207,2024
Hawkins,2024-11-23,25590,406,657,2024
Haywood,2024-11-23,9197,110,165,2024
Henderson,2024-11-23,12690,199,213,2024
Henry,2024-11-23,11281,189,317,2024
Hickman,2024-11-23,9298,133,188,2024
Houston,2024-11-23,3296,68,108,2024
Humphreys,2024-11-23,6759,88,188,2024
Jackson,2024-11-23,4377,78,147,2024
Jefferson,2024-11-23,21771,327,297,2024
Johnson,2024-11-23,7018,123,227,2024
